specObjID,ra,dec,data['z'],zErr,velocity,distance_Mpc,distance_ly
1.27835E+19,162.23074,27.770937,2.002617,-1,600368.5557,8576.693652,27960021307
1.24525E+19,24.66213,14.18002,2.002617,-1,600368.5557,8576.693652,27960021307
1.24525E+19,24.302228,14.165467,2.002617,-1,600368.5557,8576.693652,27960021307
1.20956E+19,228.90411,37.504744,2.001926,-1,600161.3994,8573.734277,27950373743
1.27553E+19,329.51459,2.4486993,2.001926,-1,600161.3994,8573.734277,27950373743
8.30243E+18,130.03754,55.215829,2.001735,0.000684379,600104.1391,8572.916273,27947707050
9.45442E+18,228.09281,51.393434,2.001671,0.000935353,600084.9524,8572.642178,27946813499
9.85639E+18,16.618584,6.4456812,2.001259,0.00027112,599961.4381,8570.877688,27941061261
8.65614E+18,25.712868,26.303233,2.001235,-1,599954.2431,8570.774902,27940726180
9.0714E+18,252.01333,52.168472,2.000773,0.000211655,599815.7392,8568.796275,27934275855
1.27802E+19,153.93948,27.67742,2.000743,0.001041806,599806.7455,8568.667792,27933857003
8.31826E+18,156.87976,45.631707,2.000742,0.000970837,599806.4457,8568.663509,27933843041
1.27803E+19,155.02643,28.912201,2.000695,0.000997477,599792.3554,8568.462221,27933186839
8.72362E+18,359.84788,32.978476,2.000574,0.000903214,599756.0806,8567.944009,27931497468
1.30167E+19,0.35267884,10.972972,2.000549,0.000658332,599748.5858,8567.83694,27931148425
9.58819E+18,233.09355,41.901714,2.000413,0.001109573,599707.8141,8567.254487,27929249628
1.05599E+19,23.123202,-2.0931057,2.000056,0.000402399,599600.7884,8565.725548,27924265286
1.24446E+19,27.111501,11.620221,2.000006,0.00138681,599585.7988,8565.511411,27923567199
9.41725E+18,159.63574,43.012205,1.999903,0.000673556,599554.9202,8565.070288,27922129140
1.03945E+19,329.67422,-0.683206,1.999896,0.000593736,599552.8216,8565.040309,27922031407
1.24525E+19,23.497028,13.982861,1.999583,0.00030775,599458.9867,8563.699811,27917661382
8.67748E+18,329.15465,29.786741,1.999557,0.001135468,599451.1921,8563.588459,27917298377
7.19575E+18,120.41125,44.931539,1.999512,12.15888,599437.7015,8563.395736,27916670099
9.60185E+18,240.4881,42.164122,1.999498,4.11E-05,599433.5044,8563.335777,27916474634
9.84953E+18,7.3421172,6.3720747,1.999487,4.25E-05,599430.2067,8563.288667,27916321055
9.48365E+18,228.04822,59.291281,1.999206,0.002656224,599345.9652,8562.085216,27912397806
1.08123E+19,137.59082,26.717833,1.999116,0.000929937,599318.9839,8561.69977,27911141249
1.21057E+19,217.72192,38.936425,1.998863,55.37503,599243.1365,8560.616236,27907608928
1.07682E+19,134.44303,20.072287,1.998795,0.001260343,599222.7506,8560.325009,27906659530
8.23845E+18,122.21597,51.016968,1.998443,0.00118055,599117.2239,8558.817484,27901744997
4.7582E+18,15.768277,0.27055492,1.998432,0.001143401,599113.9261,8558.770373,27901591418
1.20011E+19,128.97104,28.940918,1.998142,0.000526881,599026.9865,8557.528378,27897542512
1.17895E+19,160.19942,30.880894,1.998041,0.001505334,598996.7075,8557.095821,27896132377
1.17737E+19,157.48847,26.185124,1.997957,0.000797613,598971.5249,8556.736071,27894959590
1.08188E+19,135.91192,27.952003,1.99758,0.000393815,598858.5034,8555.121477,27889696014
8.2306E+18,129.56955,51.063733,1.996763,7.48E-05,598613.5733,8551.622476,27878289271
1.17861E+19,160.89221,24.42549,1.996749,0.01388125,598609.3762,8551.562517,27878093806
1.03089E+19,351.68844,0.034830589,1.996387,0.001918261,598500.8515,8550.012164,27873039656
8.35869E+18,185.81151,48.086704,1.996215,0.001836331,598449.2873,8549.275533,27870638236
1.27013E+19,356.81757,2.3939909,1.996196,0.000760533,598443.5912,8549.19416,27870372963
8.81818E+18,35.443635,-2.6439953,1.996187,0.001480257,598440.8931,8549.155616,27870247307
1.31204E+19,257.18929,31.622334,1.996093,0.000870897,598412.7127,8548.753038,27868934904
1.05274E+19,9.5372119,-1.8069747,1.996045,0.001183117,598398.3226,8548.547466,27868264740
8.21928E+18,121.66772,53.996964,1.996038,6.25E-05,598396.2241,8548.517487,27868167008
1.02986E+19,335.52586,-1.9242996,1.99602,7.36E-05,598390.8278,8548.440398,27867915697
1.15497E+19,204.71233,34.154067,1.995899,0.001661018,598354.553,8547.922186,27866226326
7.80376E+18,212.96045,54.022783,1.995648,0.001156392,598279.3052,8546.847217,27862721929
1.03303E+19,350.20115,2.2267309,1.995589,0.0021185,598261.6175,8546.594536,27861898186
9.32484E+18,133.97178,44.636385,1.995524,0.000715566,598242.131,8546.316157,27860990673
8.72028E+18,2.8909106,32.302081,1.995393,9.97E-05,598202.8583,8545.755118,27859161684
8.82708E+18,29.208557,-0.30120135,1.99539,0.7015654,598201.9589,8545.74227,27859119799
1.17467E+19,131.33584,30.803003,1.995367,0.01851584,598195.0637,8545.643767,27858798679
9.23371E+18,201.02565,58.363353,1.995071,0.000856921,598106.3252,8544.376075,27854666004
1.06118E+19,31.033493,4.2501346,1.994906,0.00042424,598056.8596,8543.669422,27852362316
9.21666E+18,157.47247,56.812674,1.994447,0.000674734,597919.255,8541.703643,27845953877
1.27555E+19,327.39033,3.6906735,1.994385,0.000929947,597900.6679,8541.438113,27845088249
